symbol,group,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
TCH,VNMidCap,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TLG,VNMidCap,Công ty Cổ phần Tập đoàn Thiên Long,Hàng gia dụng,Hàng cá nhân & Gia dụng,Đồ gia dụng một lần,CT,3000,3700,3720,3724
VCG,VNMidCap,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
VCI,VNMidCap,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
VGC,VNMidCap,Tổng Công ty Viglacera - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
VHC,VNMidCap,Công ty Cổ phần Vĩnh Hoàn,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
VIX,VNMidCap,Công ty Cổ phần Chứng khoán VIX,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
VND,VNMidCap,Công ty Cổ phần Chứng khoán VNDIRECT,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
VPI,VNMidCap,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
VSC,VNMidCap,Công ty Cổ phần Container Việt Nam,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
VTP,VNMidCap,Tổng Công ty Cổ phần Bưu chính Viettel,Vận tải,Hàng & Dịch vụ Công nghiệp,Chuyển phát nhanh,CT,2000,2700,2770,2771
